paper_id,code
2-s2.0-85077976956,2700
2-s2.0-85060936020,2208
2-s2.0-85060936020,2504
2-s2.0-85052201238,1600
2-s2.0-85052201238,1500
2-s2.0-85052201238,2209
2-s2.0-85051498032,1600
2-s2.0-85051498032,3104
2-s2.0-85051498032,3100
2-s2.0-85051498032,3110
2-s2.0-85051498032,2508
2-s2.0-85050678366,1602
2-s2.0-85050678366,1303
2-s2.0-85050678366,2304
2-s2.0-85050678366,1607
2-s2.0-85059846549,1403
2-s2.0-85059846549,1408
2-s2.0-85059846549,1407
2-s2.0-85053455291,1311
2-s2.0-85078621193,2700
2-s2.0-85061529820,1801
2-s2.0-85061529820,1802
2-s2.0-85061529820,2202
2-s2.0-85061529820,2211
2-s2.0-85061529820,1702
2-s2.0-85058878790,2500
2-s2.0-85058878790,3104
2-s2.0-85058878790,3110
2-s2.0-85058878790,1607
2-s2.0-85058878790,1603
2-s2.0-85053749794,1600
2-s2.0-85053749794,3104
2-s2.0-85053749794,3110
2-s2.0-85053749794,2508
2-s2.0-85053749794,2505
2-s2.0-85060970184,1702
2-s2.0-85060970184,1705
2-s2.0-85060970184,1706
2-s2.0-85060970184,1710
2-s2.0-85060970184,1711
2-s2.0-85060970184,1802
2-s2.0-85061895439,1712
2-s2.0-85061895439,1709
2-s2.0-85061895439,1707
2-s2.0-85061895439,1705
2-s2.0-85059849496,3103
2-s2.0-85059849496,1912
2-s2.0-85059562771,2300
2-s2.0-85059562771,1900
2-s2.0-85059516216,1105
2-s2.0-85059516216,1110
2-s2.0-85059160526,3100
2-s2.0-85058392278,2304
2-s2.0-85058392278,1500
2-s2.0-85058392278,2500
2-s2.0-85058392278,2100
2-s2.0-85054885984,2105
2-s2.0-85054885984,2215
2-s2.0-85054885984,2300
2-s2.0-85054885984,1408
2-s2.0-85054885984,2209
2-s2.0-85063732788,1404
2-s2.0-85063732788,2002
2-s2.0-85063732788,1408
2-s2.0-85063732788,1406
2-s2.0-85063732788,2308
2-s2.0-85063732788,1405
2-s2.0-85059484399,3100
2-s2.0-85059480239,3100
2-s2.0-85059476683,3100
2-s2.0-85059474991,3100
2-s2.0-85059473929,3100
2-s2.0-85059465253,3100
2-s2.0-85059463569,3100
2-s2.0-85059461222,3100
2-s2.0-85059452131,3100
2-s2.0-85059450763,3100
2-s2.0-85059450621,3100
2-s2.0-85059443311,3100
2-s2.0-85058918074,1602
2-s2.0-85058918074,1601
2-s2.0-85058918074,1313
2-s2.0-85058918074,3003
2-s2.0-85058918074,3002
2-s2.0-85058918074,1606
2-s2.0-85058918074,1605
2-s2.0-85059409668,3101
2-s2.0-85055723883,3104
2-s2.0-85055723883,1606
2-s2.0-85055723883,2507
2-s2.0-85055723883,2505
2-s2.0-85054676706,2205
2-s2.0-85053840080,2504
2-s2.0-85053840080,3107
2-s2.0-85053840080,3104
2-s2.0-85053840080,1607
2-s2.0-85053840080,1606
2-s2.0-85053840080,2505
2-s2.0-85051292687,1102
2-s2.0-85051292687,1109
2-s2.0-85063505074,1712
2-s2.0-85063505074,1709
2-s2.0-85063505074,1707
2-s2.0-85063505074,1705
2-s2.0-85063429603,1712
2-s2.0-85063429603,1709
2-s2.0-85063429603,1707
2-s2.0-85063429603,1705
2-s2.0-85059112614,3100
2-s2.0-85058475370,3100
2-s2.0-85058983048,1106
2-s2.0-85058983048,2916
2-s2.0-85059290811,3100
2-s2.0-85055499333,2304
2-s2.0-85055499333,1500
2-s2.0-85055499333,2500
2-s2.0-85055499333,2100
2-s2.0-85061839078,3304
2-s2.0-85061839078,1709
2-s2.0-85061839078,1706
2-s2.0-85060496074,1702
2-s2.0-85060496074,1706
2-s2.0-85060496074,2207
2-s2.0-85060496074,2208
2-s2.0-85058647216,3100
2-s2.0-85058622656,3100
2-s2.0-85058320961,2701
2-s2.0-85058320961,1313
2-s2.0-85058320961,1301
2-s2.0-85058320961,1307
2-s2.0-85062801280,1712
2-s2.0-85062801280,1709
2-s2.0-85062801280,1707
2-s2.0-85062801280,1705
2-s2.0-85062797130,1712
2-s2.0-85062797130,1709
2-s2.0-85062797130,1707
2-s2.0-85062797130,1705
2-s2.0-85062255690,3300
2-s2.0-85066101363,2719
2-s2.0-85066101363,2739
2-s2.0-85066099543,2719
2-s2.0-85066099543,2739
2-s2.0-85066083201,2719
2-s2.0-85066083201,2739
2-s2.0-85066078842,2719
2-s2.0-85066078842,2739
2-s2.0-85059896348,1312
2-s2.0-85059896348,2401
2-s2.0-85059896348,1311
2-s2.0-85058555067,1110
2-s2.0-85066105607,1712
2-s2.0-85066105607,1704
2-s2.0-85066105607,1707
2-s2.0-85066105607,1709
2-s2.0-85060316344,2200
2-s2.0-85060315563,2200
2-s2.0-85060304153,2200
2-s2.0-85060301990,2200
2-s2.0-85060284558,2200
2-s2.0-85060284222,2200
2-s2.0-85060277158,2200
2-s2.0-85058329914,3100
2-s2.0-85060520670,2309
2-s2.0-85060520670,2308
2-s2.0-85058332469,2205
2-s2.0-85058332469,1909
2-s2.0-85058332469,2211
2-s2.0-85058332469,2210
2-s2.0-85058332469,2208
2-s2.0-85057626112,1600
2-s2.0-85057626112,2304
2-s2.0-85057626112,1500
2-s2.0-85057626112,2105
2-s2.0-85057578970,1600
2-s2.0-85057578970,2304
2-s2.0-85057578970,1500
2-s2.0-85057578970,2105
2-s2.0-85152969667,3400
2-s2.0-85152957456,3400
2-s2.0-85152950212,3400
2-s2.0-85152926723,3400
2-s2.0-85152923178,3400
2-s2.0-85147427223,3400
2-s2.0-85134033351,3400
2-s2.0-85130690048,3400
2-s2.0-85120882431,3400
2-s2.0-85100201551,2808
2-s2.0-85100201551,2728
2-s2.0-85091699096,2002
2-s2.0-85091699096,2003
2-s2.0-85091699096,3303
2-s2.0-85090293808,3400
2-s2.0-85082684208,3400
2-s2.0-85076352482,2102
2-s2.0-85076352482,2208
2-s2.0-85076352482,1708
2-s2.0-85076340852,2102
2-s2.0-85076340852,2208
2-s2.0-85076340852,1708
2-s2.0-85076335862,2102
2-s2.0-85076335862,2208
2-s2.0-85076335862,1708
2-s2.0-85071461260,3103
2-s2.0-85071461260,1912
2-s2.0-85070861352,1706
2-s2.0-85070861352,1708
2-s2.0-85070861352,1802
2-s2.0-85070861352,2208
2-s2.0-85070861352,3105
2-s2.0-85070812664,1705
2-s2.0-85070812664,1711
2-s2.0-85070806504,1705
2-s2.0-85070806504,1711
2-s2.0-85069328095,2708
2-s2.0-85067075989,1906
2-s2.0-85064709833,1106
2-s2.0-85063690066,3400
2-s2.0-85063522895,1100
2-s2.0-85061602467,2600
2-s2.0-85061602467,2604
2-s2.0-85060882963,1000
2-s2.0-85060856625,1000
2-s2.0-85060664134,2746
2-s2.0-85060664134,2914
2-s2.0-85060664134,2703
2-s2.0-85060222612,2700
2-s2.0-85060162536,2603
2-s2.0-85060162536,2604
2-s2.0-85059675381,2404
2-s2.0-85059675381,2726
2-s2.0-85059639710,3100
2-s2.0-85059609200,3404
2-s2.0-85059566810,3004
2-s2.0-85059566810,1110
2-s2.0-85059566810,3002
2-s2.0-85059566810,2707
2-s2.0-85059556193,2207
2-s2.0-85059556193,2205
2-s2.0-85059556193,2215
2-s2.0-85059556193,1705
2-s2.0-85059533501,2740
2-s2.0-85059500714,1315
2-s2.0-85059477183,3106
2-s2.0-85059460372,3106
2-s2.0-85059273699,2723
2-s2.0-85059273699,2403
2-s2.0-85059259196,2723
2-s2.0-85059259196,2403
2-s2.0-85059255766,2723
2-s2.0-85059255766,2403
2-s2.0-85059248986,2723
