id,keyword
2-s2.0-85052201238,Multiphase flow models
2-s2.0-85052201238,Riser
2-s2.0-85052201238,Sorption enhanced steam methane reforming
2-s2.0-85052201238,Encapsulation
2-s2.0-85052201238,Fluoroalkylsilane
2-s2.0-85051498032,Natural rubber
2-s2.0-85051498032,Oil/water separation superhydrophobic/superoleophilic mesh
2-s2.0-85051498032,acpcPNA
2-s2.0-85051498032,Electrochemical impedance spectroscopy
2-s2.0-85050678366,Mycobacterium tuberculosis
2-s2.0-85050678366,Paper-based electrochemical DNA biosensor
2-s2.0-85050678366,Design of experiment
2-s2.0-85050678366,Optimal fleet size
2-s2.0-85059846549,Outsourcing
2-s2.0-85059846549,Simulation modelling
2-s2.0-85059846549,Transportation contract
2-s2.0-85059846549,Transportation management
2-s2.0-85059846549,Variation
2-s2.0-85059846549,Female
2-s2.0-85059846549,Hyperammonemia
2-s2.0-85053455291,Novel mutations
2-s2.0-85053455291,Ornithine transcarbamylase deficiency
2-s2.0-85053455291,OTC
2-s2.0-85053455291,Attention mechanism
2-s2.0-85053455291,Bi-directional GRU
2-s2.0-85061529820,Deep Learning
2-s2.0-85061529820,predicting judgement
2-s2.0-85061529820,Thai Supreme Court
2-s2.0-85061529820,Anodization
2-s2.0-85061529820,Ti–Zr alloy
2-s2.0-85061529820,Wear resistance
2-s2.0-85053749794,Data preparation
2-s2.0-85053749794,Disease
2-s2.0-85053749794,ICD-10-CM
2-s2.0-85060970184,Symptom
2-s2.0-85060970184,Text mining
2-s2.0-85060970184,AISAS model
2-s2.0-85060970184,Feature selection
2-s2.0-85060970184,SMOTE
2-s2.0-85060970184,galaxies: evolution
2-s2.0-85061895439,galaxies: formation
2-s2.0-85061895439,galaxies: general
2-s2.0-85061895439,Apocynaceae
2-s2.0-85059849496,Asclepiadoideae
2-s2.0-85059849496,Eastern thailand
2-s2.0-85059849496,Open sandy area
2-s2.0-85059516216,graphitic carbon nitride
2-s2.0-85059516216,heterostructured composites
2-s2.0-85059516216,hydrogen evolution
2-s2.0-85059516216,photocatalysis
2-s2.0-85058392278,Cavitation reactor
2-s2.0-85058392278,Homogenizer reactor
2-s2.0-85058392278,Ultrasonic reactor
2-s2.0-85058392278,Yield efficiency
2-s2.0-85058392278,ASEAN
2-s2.0-85054885984,GMM
